,condition
7707,T1
7708,T1
7709,T1
7710,T1
7711,T1
7712,T1
7713,T1
7714,T1
7715,T1
7716,T1
7717,T1
7718,T1
7719,T1
7720,T1
7721,T1
7722,T1
7723,T1
7724,T1
7725,T1
7726,T1
7727,T1
7728,T1
7729,T1
7730,T1
7731,T1
7732,T1
7733,T1
7734,T1
7735,T1
7736,T1
7737,T1
7738,T1
7739,T1
7740,T1
7741,T1
7742,T1
7743,T1
7744,T1
7745,T1
7746,T1
7747,T1
7748,T1
7749,T1
7750,T1
7751,T1
7752,T1
7753,T1
7754,T1
7755,T1
7756,T1
7757,T1
7758,T1
7759,T1
7760,T1
7761,T1
7762,T1
7763,T1
7764,T1
7765,T1
7766,T1
7767,T1
7768,T1
7769,T1
7770,T1
7771,T1
7772,T1
7773,T1
7774,T1
7775,T1
7776,T1
7777,T1
7778,T1
7779,T1
7780,T1
7781,T1
7782,T1
7783,T1
7784,T1
7785,T1
7786,T1
7787,T1
7788,T1
7789,T1
7790,T1
7791,T1
7792,T1
7793,T1
7794,T1
7795,T1
7796,T1
7797,T1
7798,T1
7799,T1
7800,T1
7801,T1
7802,T1
7803,T1
7804,T1
7805,T1
7806,T1
7807,T1
7808,T1
7809,T1
7810,T1
7811,T1
7812,T1
7813,T1
7814,T1
7815,T1
7816,T1
7817,T1
7818,T1
7819,T1
7820,T1
7821,T1
7822,T1
7823,T1
7824,T1
7825,T1
7826,T1
7827,T1
7828,T1
7829,T1
7830,T1
7831,T1
7832,T1
7833,T1
7834,T1
7835,T1
7836,T1
7837,T1
7838,T1
7839,T1
7840,T1
7841,T1
7842,T1
7843,T1
7844,T1
7845,T1
7846,T1
7847,T1
7848,T1
7849,T1
7850,T1
7851,T1
7852,T1
7853,T1
7854,T1
7855,T1
7856,T1
7857,T1
7858,T1
7859,T1
7860,T1
7861,T1
7862,T1
7863,T1
7864,T1
7865,T1
7866,T1
7867,T1
7868,T1
7869,T1
7870,T1
7871,T1
7872,T1
7873,T1
7874,T1
7875,T1
7876,T1
7877,T1
7878,T1
7879,T1
7880,T1
7881,T1
7882,T1
7883,T1
7884,T1
7885,T1
7886,T1
7887,T1
7888,T1
7889,T1
7890,T1
7891,T1
7892,T1
7893,T1
7894,T1
7895,T1
7896,T1
7897,T1
7898,T1
7899,T1
7900,T1
7901,T1
7902,T1
7903,T1
7904,T1
7905,T1
7906,T1
7907,T1
7908,T1
7909,T1
7910,T1
7911,T1
7912,T1
7913,T1
7914,T1
7915,T1
7916,T1
7917,T1
7918,T1
7919,T1
7920,T1
7921,T1
7922,T1
7923,T1
7924,T1
7925,T1
7926,T1
7927,T1
7928,T1
7929,T1
7930,T1
7931,T1
7932,T1
7933,T1
7934,T1
7935,T1
7936,T1
7937,T1
7938,T1
7939,T1
7940,T1
7941,T1
7942,T1
7943,T1
7944,T1
7945,T1
7946,T1
7947,T1
7948,T1
7949,T1
7950,T1
7951,T1
7952,T1
7953,T1
7954,T1
7955,T1
7956,T1
7957,T1
7958,T1
7959,T1
7960,T1
7961,T1
7962,T1
7963,T1
7964,T1
7965,T1
7966,T1
7967,T1
7968,T1
7969,T1
7970,T1
7971,T1
7972,T1
7973,T1
7974,T1
7975,T1
7976,T1
7977,T1
7978,T1
7979,T1
8645,T1
8646,T1
8647,T1
8648,T1
8649,T1
8650,T1
8651,T1
8652,T1
8653,T1
8654,T1
8655,T1
8656,T1
8657,T1
8658,T1
8659,T1
8660,T1
8661,T1
8662,T1
8663,T1
8664,T1
8665,T1
8666,T1
8667,T1
8668,T1
8669,T1
8670,T1
8671,T1
8672,T1
8673,T1
8674,T1
8675,T1
8676,T1
8677,T1
8678,T1
8679,T1
8680,T1
8681,T1
8682,T1
8683,T1
8684,T1
8685,T1
8686,T1
8687,T1
8688,T1
8689,T1
8690,T1
8691,T1
8692,T1
8693,T1
8694,T1
8695,T1
8696,T1
8697,T1
8698,T1
8699,T1
8700,T1
8701,T1
8702,T1
8703,T1
8704,T1
8705,T1
8706,T1
8707,T1
8708,T1
8709,T1
8710,T1
8711,T1
8712,T1
8713,T1
8714,T1
8715,T1
8716,T1
8717,T1
8718,T1
8719,T1
8720,T1
8721,T1
8722,T1
8723,T1
8724,T1
8725,T1
8726,T1
8727,T1
8728,T1
8729,T1
8730,T1
8731,T1
8732,T1
8733,T1
8734,T1
8735,T1
8736,T1
8737,T1
8738,T1
8739,T1
8740,T1
8741,T1
8742,T1
8743,T1
8744,T1
8745,T1
8746,T1
8747,T1
8748,T1
8749,T1
8750,T1
8751,T1
8752,T1
8753,T1
8754,T1
8755,T1
8756,T1
8757,T1
8758,T1
8759,T1
8760,T1
8761,T1
8762,T1
8763,T1
8764,T1
8765,T1
8766,T1
8767,T1
8768,T1
8769,T1
8770,T1
8771,T1
8772,T1
8773,T1
8774,T1
8775,T1
8776,T1
8777,T1
8778,T1
8779,T1
8780,T1
8781,T1
8782,T1
8783,T1
8784,T1
8785,T1
8786,T1
8787,T1
8788,T1
8789,T1
8790,T1
8791,T1
8792,T1
8793,T1
8794,T1
8795,T1
8796,T1
8797,T1
8798,T1
8799,T1
8800,T1
8801,T1
8802,T1
8803,T1
8804,T1
8805,T1
8806,T1
8807,T1
8808,T1
8809,T1
8810,T1
8811,T1
8812,T1
8813,T1
8814,T1
8815,T1
8816,T1
8817,T1
8818,T1
8819,T1
8820,T1
8821,T1
8822,T1
8823,T1
8824,T1
8825,T1
8826,T1
8827,T1
8828,T1
8829,T1
8830,T1
8831,T1
8832,T1
8833,T1
8834,T1
8835,T1
8836,T1
8837,T1
8838,T1
8839,T1
8840,T1
8841,T1
8842,T1
8843,T1
8844,T1
8845,T1
8846,T1
8847,T1
8848,T1
8849,T1
8850,T1
8851,T1
8852,T1
8853,T1
8854,T1
8855,T1
8856,T1
8857,T1
8858,T1
8859,T1
8860,T1
8861,T1
8862,T1
8863,T1
8864,T1
8865,T1
8866,T1
8867,T1
8868,T1
8869,T1
8870,T1
8871,T1
8872,T1
8873,T1
8874,T1
8875,T1
8876,T1
8877,T1
8878,T1
8879,T1
8880,T1
8881,T1
8882,T1
8883,T1
8884,T1
8885,T1
8886,T1
8887,T1
8888,T1
8889,T1
8890,T1
8891,T1
8892,T1
8893,T1
8894,T1
8895,T1
8896,T1
8897,T1
8898,T1
8899,T1
8900,T1
8901,T1
8902,T1
8903,T1
8904,T1
8905,T1
8906,T1
8907,T1
8908,T1
8909,T1
8910,T1
8911,T1
8912,T1
8913,T1
8914,T1
8915,T1
8916,T1
8917,T1
8918,T1
8919,T1
8920,T1
8921,T1
8922,T1
8923,T1
8924,T1
8925,T1
8926,T1
8927,T1
8928,T1
8929,T1
8930,T1
8931,T1
8932,T1
8933,T1
8934,T1
8935,T1
8936,T1
8937,T1
8938,T1
8939,T1
8940,T1
8941,T1
8942,T1
8943,T1
8944,T1
8945,T1
8946,T1
8947,T1
8948,T1
8949,T1
8950,T1
8951,T1
8952,T1
8953,T1
8954,T1
8955,T1
8956,T1
8957,T1
8958,T1
8959,T1
8960,T1
8961,T1
8962,T1
8963,T1
8964,T1
8965,T1
8966,T1
8967,T1
8968,T1
8969,T1
8970,T1
8971,T1
8972,T1
8973,T1
8974,T1
8975,T1
8976,T1
8977,T1
8978,T1
8979,T1
8980,T1
8981,T1
8982,T1
8983,T1
8984,T1
8985,T1
8986,T1
8987,T1
8988,T1
8989,T1
8990,T1
8991,T1
8992,T1
8993,T1
8994,T1
8995,T1
8996,T1
8997,T1
8998,T1
8999,T1
9000,T1
9001,T1
9002,T1
9003,T1
9004,T1
9005,T1
9006,T1
9007,T1
9008,T1
9009,T1
9010,T1
9011,T1
9012,T1
9013,T1
9014,T1
9015,T1
9016,T1
9017,T1
9018,T1
9019,T1
9020,T1
9021,T1
9022,T1
9023,T1
9024,T1
9025,T1
9026,T1
9027,T1
9028,T1
9029,T1
9030,T1
9031,T1
9032,T1
9033,T1
9034,T1
9035,T1
9036,T1
9037,T1
9038,T1
9039,T1
9040,T1
9041,T1
9042,T1
9043,T1
9044,T1
9045,T1
9046,T1
9047,T1
9048,T1
9049,T1
9050,T1
9051,T1
9052,T1
9053,T1
9054,T1
9055,T1
9056,T1
9057,T1
9058,T1
9059,T1
9060,T1
9061,T1
9062,T1
9063,T1
9064,T1
9065,T1
9066,T1
9067,T1
9068,T1
9069,T1
9070,T1
9071,T1
9072,T1
9073,T1
9074,T1
9075,T1
9076,T1
9077,T1
9078,T1
9079,T1
9080,T1
9081,T1
9082,T1
9083,T1
9084,T1
9085,T1
9086,T1
9087,T1
9088,T1
9089,T1
9090,T1
9091,T1
9092,T1
9093,T1
9094,T1
9095,T1
9096,T1
9097,T1
9098,T1
9099,T1
9100,T1
9101,T1
9102,T1
9103,T1
9104,T1
9105,T1
9106,T1
9107,T1
9108,T1
9109,T1
9110,T1
9111,T1
9112,T1
9113,T1
9114,T1
9115,T1
9116,T1
9117,T1
9118,T1
9119,T1
9120,T1
9121,T1
9122,T1
9123,T1
9124,T1
9125,T1
9126,T1
9127,T1
9128,T1
9129,T1
9130,T1
9131,T1
9132,T1
9133,T1
9134,T1
9135,T1
9136,T1
9137,T1
9138,T1
9139,T1
9140,T1
9141,T1
9142,T1
9143,T1
9144,T1
9145,T1
9146,T1
9147,T1
9148,T1
9149,T1
9150,T1
9151,T1
9152,T1
9153,T1
9154,T1
9155,T1
9156,T1
9157,T1
9158,T1
9159,T1
9160,T1
9161,T1
9162,T1
9163,T1
9164,T1
9165,T1
9166,T1
9167,T1
9168,T1
9169,T1
9170,T1
9171,T1
9172,T1
9173,T1
9174,T1
9175,T1
9176,T1
9177,T1
9178,T1
9179,T1
9180,T1
9181,T1
9182,T1
9183,T1
9184,T1
9185,T1
9186,T1
9187,T1
9188,T1
9189,T1
9190,T1
9191,T1
9192,T1
9193,T1
9194,T1
9195,T1
9196,T1
9197,T1
9198,T1
9199,T1
9200,T1
9201,T1
9202,T1
9203,T1
9204,T1
9205,T1
9206,T1
9207,T1
9208,T1
9209,T1
9210,T1
9211,T1
9212,T1
9213,T1
9214,T1
9215,T1
9216,T1
9217,T1
9218,T1
9219,T1
9220,T1
9221,T1
9222,T1
9223,T1
9224,T1
9225,T1
9226,T1
9227,T1
9228,T1
9229,T1
9230,T1
9231,T1
9232,T1
9233,T1
9234,T1
9235,T1
9236,T1
9237,T1
9238,T1
9239,T1
9240,T1
9241,T1
9242,T1
9243,T1
9244,T1
9245,T1
9246,T1
9247,T1
9248,T1
9249,T1
9250,T1
9251,T1
9252,T1
9253,T1
9254,T1
9255,T1
9256,T1
9257,T1
9258,T1
9259,T1
9260,T1
9261,T1
9262,T1
9263,T1
9264,T1
9265,T1
9266,T1
9267,T1
9268,T1
9269,T1
9270,T1
9271,T1
9272,T1
9273,T1
9274,T1
9275,T1
9276,T1
9277,T1
9278,T1
9279,T1
9280,T1
9281,T1
9282,T1
9283,T1
9284,T1
9285,T1
9286,T1
9287,T1
9288,T1
9289,T1
9290,T1
9291,T1
9292,T1
9293,T1
9294,T1
9295,T1
9296,T1
9297,T1
9298,T1
9299,T1
9300,T1
9301,T1
9302,T1
9303,T1
9304,T1
9305,T1
9306,T1
9307,T1
9308,T1
9309,T1
11305,T1
11306,T1
11307,T1
11308,T1
11309,T1
11310,T1
11311,T1
11312,T1
11313,T1
11314,T1
11315,T1
11316,T1
11317,T1
11318,T1
11319,T1
11320,T1
11321,T1
11322,T1
11323,T1
11324,T1
11325,T1
11326,T1
11327,T1
11328,T1
11329,T1
11330,T1
11331,T1
11332,T1
11333,T1
11334,T1
11335,T1
11336,T1
11337,T1
11338,T1
11339,T1
11340,T1
11341,T1
11342,T1
11343,T1
11344,T1
11345,T1
11346,T1
11347,T1
11348,T1
11349,T1
11350,T1
11351,T1
11352,T1
11353,T1
11354,T1
11355,T1
11356,T1
11357,T1
11358,T1
11359,T1
11360,T1
11361,T1
11362,T1
11363,T1
11364,T1
11365,T1
11366,T1
11367,T1
11368,T1
11369,T1
11370,T1
11371,T1
11372,T1
11373,T1
11374,T1
11375,T1
11376,T1
11377,T1
11378,T1
11379,T1
11380,T1
11381,T1
11382,T1
11383,T1
11384,T1
11385,T1
11386,T1
11387,T1
11388,T1
11389,T1
11390,T1
11391,T1
11392,T1
11393,T1
11394,T1
11395,T1
11396,T1
11397,T1
11398,T1
11399,T1
11400,T1
11401,T1
11402,T1
11403,T1
11404,T1
11405,T1
11406,T1
11407,T1
11408,T1
11409,T1
11410,T1
11411,T1
11412,T1
11413,T1
11414,T1
11415,T1
11416,T1
11417,T1
11418,T1
11419,T1
11420,T1
11421,T1
11422,T1
11423,T1
11424,T1
11425,T1
11426,T1
11427,T1
11428,T1
11429,T1
11430,T1
11431,T1
11432,T1
11433,T1
11434,T1
11435,T1
11436,T1
11437,T1
11438,T1
11439,T1
11440,T1
11441,T1
11442,T1
11443,T1
11444,T1
11445,T1
11446,T1
11447,T1
11448,T1
11449,T1
11450,T1
11451,T1
11452,T1
11453,T1
11454,T1
11455,T1
11456,T1
11457,T1
11458,T1
11459,T1
11460,T1
11461,T1
11462,T1
11463,T1
11464,T1
11465,T1
11466,T1
11467,T1
11468,T1
11469,T1
11470,T1
11471,T1
11472,T1
11473,T1
11474,T1
11475,T1
11476,T1
11477,T1
11478,T1
11479,T1
11480,T1
11481,T1
11482,T1
11483,T1
11484,T1
11485,T1
11486,T1
11487,T1
11488,T1
11489,T1
11490,T1
11491,T1
11492,T1
11493,T1
11494,T1
11495,T1
11496,T1
11497,T1
11498,T1
11499,T1
11500,T1
11501,T1
11502,T1
11503,T1
11504,T1
11505,T1
11506,T1
11507,T1
11508,T1
11509,T1
11510,T1
11511,T1
11512,T1
11513,T1
11514,T1
11515,T1
11516,T1
11517,T1
11518,T1
11519,T1
11520,T1
11521,T1
11522,T1
11523,T1
11524,T1
11525,T1
11526,T1
11527,T1
11528,T1
11529,T1
11530,T1
11531,T1
11532,T1
11533,T1
11534,T1
11535,T1
11536,T1
11537,T1
11538,T1
11539,T1
11540,T1
11541,T1
11542,T1
11543,T1
11544,T1
11545,T1
11546,T1
11547,T1
11548,T1
11549,T1
11550,T1
11551,T1
11552,T1
11553,T1
11554,T1
11555,T1
11556,T1
11557,T1
11558,T1
11559,T1
11560,T1
11561,T1
11562,T1
11563,T1
11564,T1
11565,T1
11566,T1
11567,T1
11568,T1
11569,T1
11570,T1
11571,T1
11572,T1
11573,T1
11574,T1
11575,T1
11576,T1
11577,T1
11578,T1
11579,T1
11580,T1
11581,T1
11582,T1
11583,T1
11584,T1
11585,T1
11586,T1
11587,T1
11588,T1
11589,T1
11590,T1
11591,T1
11592,T1
11593,T1
11594,T1
11595,T1
11596,T1
11597,T1
11598,T1
11599,T1
11600,T1
11601,T1
11602,T1
11603,T1
11604,T1
11605,T1
11606,T1
11607,T1
11608,T1
11609,T1
11610,T1
11611,T1
11612,T1
11613,T1
11614,T1
11615,T1
11616,T1
11617,T1
11618,T1
11619,T1
11620,T1
11621,T1
11622,T1
11623,T1
11624,T1
11625,T1
11626,T1
11627,T1
11628,T1
11629,T1
11630,T1
11631,T1
11632,T1
11633,T1
11634,T1
11635,T1
11636,T1
11637,T1
11638,T1
11639,T1
11640,T1
11641,T1
11642,T1
11643,T1
11644,T1
11645,T1
11646,T1
11647,T1
11648,T1
11649,T1
11650,T1
11651,T1
11652,T1
11653,T1
11654,T1
11655,T1
11656,T1
11657,T1
11658,T1
11659,T1
11660,T1
11661,T1
11662,T1
11663,T1
11664,T1
11665,T1
11666,T1
11667,T1
11668,T1
11669,T1
11670,T1
11671,T1
11672,T1
11673,T1
11674,T1
11675,T1
11676,T1
11677,T1
11678,T1
11679,T1
11680,T1
11681,T1
11682,T1
11683,T1
11684,T1
11685,T1
11686,T1
11687,T1
11688,T1
11689,T1
11690,T1
11691,T1
11692,T1
11693,T1
11694,T1
11695,T1
11696,T1
11697,T1
11698,T1
11699,T1
11700,T1
11701,T1
11702,T1
11703,T1
11704,T1
11705,T1
11706,T1
11707,T1
11708,T1
11709,T1
11710,T1
11711,T1
11712,T1
11713,T1
11714,T1
11715,T1
11716,T1
11717,T1
11718,T1
11719,T1
11720,T1
11721,T1
11722,T1
11723,T1
11724,T1
11725,T1
11726,T1
11727,T1
11728,T1
11729,T1
11730,T1
11731,T1
11732,T1
11733,T1
11734,T1
11735,T1
11736,T1
11737,T1
11738,T1
11739,T1
11740,T1
11741,T1
11742,T1
11743,T1
11744,T1
11745,T1
11746,T1
11747,T1
11748,T1
11749,T1
11750,T1
11751,T1
11752,T1
11753,T1
11754,T1
11755,T1
11756,T1
11757,T1
11758,T1
11759,T1
11760,T1
11761,T1
11762,T1
11763,T1
11764,T1
11765,T1
11766,T1
11767,T1
11768,T1
11769,T1
11770,T1
11771,T1
11772,T1
11773,T1
11774,T1
11775,T1
11776,T1
11777,T1
11778,T1
11779,T1
11780,T1
11781,T1
11782,T1
11783,T1
11784,T1
11785,T1
11786,T1
11787,T1
11788,T1
11789,T1
11790,T1
11791,T1
11792,T1
11793,T1
11794,T1
11795,T1
11796,T1
11797,T1
11798,T1
11799,T1
11800,T1
11801,T1
11802,T1
11803,T1
11804,T1
11805,T1
11806,T1
11807,T1
11808,T1
11809,T1
11810,T1
11811,T1
11812,T1
11813,T1
11814,T1
11815,T1
11816,T1
11817,T1
11818,T1
11819,T1
11820,T1
11821,T1
11822,T1
11823,T1
11824,T1
11825,T1
11826,T1
11827,T1
11828,T1
11829,T1
11830,T1
11831,T1
11832,T1
11833,T1
11834,T1
11835,T1
11836,T1
11837,T1
11838,T1
11839,T1
11840,T1
11841,T1
11842,T1
11843,T1
11844,T1
11845,T1
11846,T1
11847,T1
11848,T1
11849,T1
11850,T1
11851,T1
11852,T1
11853,T1
11854,T1
11855,T1
11856,T1
11857,T1
11858,T1
11859,T1
11860,T1
11861,T1
11862,T1
11863,T1
11864,T1
11865,T1
11866,T1
11867,T1
11868,T1
11869,T1
11870,T1
11871,T1
11872,T1
11873,T1
11874,T1
11875,T1
11876,T1
11877,T1
11878,T1
11879,T1
11880,T1
11881,T1
11882,T1
11883,T1
11884,T1
11885,T1
11886,T1
11887,T1
11888,T1
11889,T1
11890,T1
11891,T1
11892,T1
11893,T1
11894,T1
11895,T1
11896,T1
11897,T1
11898,T1
11899,T1
11900,T1
11901,T1
11902,T1
11903,T1
11904,T1
11905,T1
11906,T1
11907,T1
11908,T1
11909,T1
11910,T1
11911,T1
11912,T1
11913,T1
11914,T1
11915,T1
11916,T1
11917,T1
11918,T1
11919,T1
11920,T1
11921,T1
11922,T1
11923,T1
11924,T1
11925,T1
11926,T1
11927,T1
11928,T1
11929,T1
11930,T1
11931,T1
11932,T1
11933,T1
11934,T1
11935,T1
11936,T1
11937,T1
11938,T1
11939,T1
11940,T1
11941,T1
11942,T1
11943,T1
11944,T1
11945,T1
11946,T1
11947,T1
11948,T1
11949,T1
11950,T1
11951,T1
11952,T1
11953,T1
11954,T1
11955,T1
11956,T1
11957,T1
11958,T1
11959,T1
11960,T1
11961,T1
11962,T1
11963,T1
11964,T1
11965,T1
11966,T1
11967,T1
11968,T1
11969,T1
12635,T2
12636,T2
12637,T2
12638,T2
12639,T2
12640,T2
12641,T2
12642,T2
12643,T2
12644,T2
12645,T2
12646,T2
12647,T2
12648,T2
12649,T2
12650,T2
12651,T2
12652,T2
12653,T2
12654,T2
12655,T2
12656,T2
12657,T2
12658,T2
12659,T2
12660,T2
12661,T2
12662,T2
12663,T2
12664,T2
12665,T2
12666,T2
12667,T2
12668,T2
12669,T2
12670,T2
12671,T2
12672,T2
12673,T2
12674,T2
12675,T2
12676,T2
12677,T2
12678,T2
12679,T2
12680,T2
12681,T2
12682,T2
12683,T2
12684,T2
12685,T2
12686,T2
12687,T2
12688,T2
12689,T2
12690,T2
12691,T2
12692,T2
12693,T2
12694,T2
12695,T2
12696,T2
12697,T2
12698,T2
12699,T2
12700,T2
12701,T2
12702,T2
12703,T2
12704,T2
12705,T2
12706,T2
12707,T2
12708,T2
12709,T2
12710,T2
12711,T2
12712,T2
12713,T2
12714,T2
12715,T2
12716,T2
12717,T2
12718,T2
12719,T2
12720,T2
12721,T2
12722,T2
12723,T2
12724,T2
12725,T2
12726,T2
12727,T2
12728,T2
12729,T2
12730,T2
12731,T2
12732,T2
12733,T2
12734,T2
12735,T2
12736,T2
12737,T2
12738,T2
12739,T2
12740,T2
12741,T2
12742,T2
12743,T2
12744,T2
12745,T2
12746,T2
12747,T2
12748,T2
12749,T2
12750,T2
12751,T2
12752,T2
12753,T2
12754,T2
12755,T2
12756,T2
12757,T2
12758,T2
12759,T2
12760,T2
12761,T2
12762,T2
12763,T2
12764,T2
12765,T2
12766,T2
12767,T2
12768,T2
12769,T2
12770,T2
12771,T2
12772,T2
12773,T2
12774,T2
12775,T2
12776,T2
12777,T2
12778,T2
12779,T2
12780,T2
12781,T2
12782,T2
12783,T2
12784,T2
12785,T2
12786,T2
12787,T2
12788,T2
12789,T2
12790,T2
12791,T2
12792,T2
12793,T2
12794,T2
12795,T2
12796,T2
12797,T2
12798,T2
12799,T2
12800,T2
12801,T2
12802,T2
12803,T2
12804,T2
12805,T2
12806,T2
12807,T2
12808,T2
12809,T2
12810,T2
12811,T2
12812,T2
12813,T2
12814,T2
12815,T2
12816,T2
12817,T2
12818,T2
12819,T2
12820,T2
12821,T2
12822,T2
12823,T2
12824,T2
12825,T2
12826,T2
12827,T2
12828,T2
12829,T2
12830,T2
12831,T2
12832,T2
12833,T2
12834,T2
12835,T2
12836,T2
12837,T2
12838,T2
12839,T2
12840,T2
12841,T2
12842,T2
12843,T2
12844,T2
12845,T2
12846,T2
12847,T2
12848,T2
12849,T2
12850,T2
12851,T2
12852,T2
12853,T2
12854,T2
12855,T2
12856,T2
12857,T2
12858,T2
12859,T2
12860,T2
12861,T2
12862,T2
12863,T2
12864,T2
12865,T2
12866,T2
12867,T2
12868,T2
12869,T2
12870,T2
12871,T2
12872,T2
12873,T2
12874,T2
12875,T2
12876,T2
12877,T2
12878,T2
12879,T2
12880,T2
12881,T2
12882,T2
12883,T2
12884,T2
12885,T2
12886,T2
12887,T2
12888,T2
12889,T2
12890,T2
12891,T2
12892,T2
12893,T2
12894,T2
12895,T2
12896,T2
12897,T2
12898,T2
12899,T2
12900,T2
12901,T2
12902,T2
12903,T2
12904,T2
12905,T2
12906,T2
12907,T2
12908,T2
12909,T2
12910,T2
12911,T2
12912,T2
12913,T2
12914,T2
12915,T2
12916,T2
12917,T2
12918,T2
12919,T2
12920,T2
12921,T2
12922,T2
12923,T2
12924,T2
12925,T2
12926,T2
12927,T2
12928,T2
12929,T2
12930,T2
12931,T2
12932,T2
12933,T2
12934,T2
12935,T2
12936,T2
12937,T2
12938,T2
12939,T2
12940,T2
12941,T2
12942,T2
12943,T2
12944,T2
12945,T2
12946,T2
12947,T2
12948,T2
12949,T2
12950,T2
12951,T2
12952,T2
12953,T2
12954,T2
12955,T2
12956,T2
12957,T2
12958,T2
12959,T2
12960,T2
12961,T2
12962,T2
12963,T2
12964,T2
12965,T2
12966,T2
12967,T2
12968,T2
12969,T2
12970,T2
12971,T2
12972,T2
12973,T2
12974,T2
12975,T2
12976,T2
12977,T2
12978,T2
12979,T2
12980,T2
12981,T2
12982,T2
12983,T2
12984,T2
12985,T2
12986,T2
12987,T2
12988,T2
12989,T2
12990,T2
12991,T2
12992,T2
12993,T2
12994,T2
12995,T2
12996,T2
12997,T2
12998,T2
12999,T2
13000,T2
13001,T2
13002,T2
13003,T2
13004,T2
13005,T2
13006,T2
13007,T2
13008,T2
13009,T2
13010,T2
13011,T2
13012,T2
13013,T2
13014,T2
13015,T2
13016,T2
13017,T2
13018,T2
13019,T2
13020,T2
13021,T2
13022,T2
13023,T2
13024,T2
13025,T2
13026,T2
13027,T2
13028,T2
13029,T2
13030,T2
13031,T2
13032,T2
13033,T2
13034,T2
13035,T2
13036,T2
13037,T2
13038,T2
13039,T2
13040,T2
13041,T2
13042,T2
13043,T2
13044,T2
13045,T2
13046,T2
13047,T2
13048,T2
13049,T2
13050,T2
13051,T2
13052,T2
13053,T2
13054,T2
13055,T2
13056,T2
13057,T2
13058,T2
13059,T2
13060,T2
13061,T2
13062,T2
13063,T2
13064,T2
13065,T2
13066,T2
13067,T2
13068,T2
13069,T2
13070,T2
13071,T2
13072,T2
13073,T2
13074,T2
13075,T2
13076,T2
13077,T2
13078,T2
13079,T2
13080,T2
13081,T2
13082,T2
13083,T2
13084,T2
13085,T2
13086,T2
13087,T2
13088,T2
13089,T2
13090,T2
13091,T2
13092,T2
13093,T2
13094,T2
13095,T2
13096,T2
13097,T2
13098,T2
13099,T2
13100,T2
13101,T2
13102,T2
13103,T2
13104,T2
13105,T2
13106,T2
13107,T2
13108,T2
13109,T2
13110,T2
13111,T2
13112,T2
13113,T2
13114,T2
13115,T2
13116,T2
13117,T2
13118,T2
13119,T2
13120,T2
13121,T2
13122,T2
13123,T2
13124,T2
13125,T2
13126,T2
13127,T2
13128,T2
13129,T2
13130,T2
13131,T2
13132,T2
13133,T2
13134,T2
13135,T2
13136,T2
13137,T2
13138,T2
13139,T2
13140,T2
13141,T2
13142,T2
13143,T2
13144,T2
13145,T2
13146,T2
13147,T2
13148,T2
13149,T2
13150,T2
13151,T2
13152,T2
13153,T2
13154,T2
13155,T2
13156,T2
13157,T2
13158,T2
13159,T2
13160,T2
13161,T2
13162,T2
13163,T2
13164,T2
13165,T2
13166,T2
13167,T2
13168,T2
13169,T2
13170,T2
13171,T2
13172,T2
13173,T2
13174,T2
13175,T2
13176,T2
13177,T2
13178,T2
13179,T2
13180,T2
13181,T2
13182,T2
13183,T2
13184,T2
13185,T2
13186,T2
13187,T2
13188,T2
13189,T2
13190,T2
13191,T2
13192,T2
13193,T2
13194,T2
13195,T2
13196,T2
13197,T2
13198,T2
13199,T2
13200,T2
13201,T2
13202,T2
13203,T2
13204,T2
13205,T2
13206,T2
13207,T2
13208,T2
13209,T2
13210,T2
13211,T2
13212,T2
13213,T2
13214,T2
13215,T2
13216,T2
13217,T2
13218,T2
13219,T2
13220,T2
13221,T2
13222,T2
13223,T2
13224,T2
13225,T2
13226,T2
13227,T2
13228,T2
13229,T2
13230,T2
13231,T2
13232,T2
13233,T2
13234,T2
13235,T2
13236,T2
13237,T2
13238,T2
13239,T2
13240,T2
13241,T2
13242,T2
13243,T2
13244,T2
13245,T2
13246,T2
13247,T2
13248,T2
13249,T2
13250,T2
13251,T2
13252,T2
13253,T2
13254,T2
13255,T2
13256,T2
13257,T2
13258,T2
13259,T2
13260,T2
13261,T2
13262,T2
13263,T2
13264,T2
13265,T2
13266,T2
13267,T2
13268,T2
13269,T2
13270,T2
13271,T2
13272,T2
13273,T2
13274,T2
13275,T2
13276,T2
13277,T2
13278,T2
13279,T2
13280,T2
13281,T2
13282,T2
13283,T2
13284,T2
13285,T2
13286,T2
13287,T2
13288,T2
13289,T2
13290,T2
13291,T2
13292,T2
13293,T2
13294,T2
13295,T2
13296,T2
13297,T2
13298,T2
13299,T2
13965,T2
13966,T2
13967,T2
13968,T2
13969,T2
13970,T2
13971,T2
13972,T2
13973,T2
13974,T2
13975,T2
13976,T2
13977,T2
13978,T2
13979,T2
13980,T2
13981,T2
13982,T2
13983,T2
13984,T2
13985,T2
13986,T2
13987,T2
13988,T2
13989,T2
13990,T2
13991,T2
13992,T2
13993,T2
13994,T2
13995,T2
13996,T2
13997,T2
13998,T2
13999,T2
14000,T2
14001,T2
14002,T2
14003,T2
14004,T2
14005,T2
14006,T2
14007,T2
14008,T2
14009,T2
14010,T2
14011,T2
14012,T2
14013,T2
14014,T2
14015,T2
14016,T2
14017,T2
14018,T2
14019,T2
14020,T2
14021,T2
14022,T2
14023,T2
14024,T2
14025,T2
14026,T2
14027,T2
14028,T2
